,L,cps,cps_per_nA,cps_per_nA_stdev,baseline,cps_per_nA_corrected,fit
73,132.3,12.333333333333334,1.2335534587512642,0.980040654210168,1.418943305791912,-0.18538984704064787,0.00024180389032978441
74,132.4,12.333333333333336,1.233635731677206,0.9725956670211258,1.4105396501607694,-0.17690391848356346,0.00026717205827883384
75,132.5,13.88888888888889,1.3891912983614263,1.0771528785635562,1.4022242262721156,-0.01303292791068933,0.00029501054678795086
76,132.6,14.333333333333334,1.433651299022173,0.9572409737055784,1.3939958034169042,0.03965549560526882,0.00032553883328189823
77,132.7,12.77777777777778,1.2780212393065862,0.9451945151176192,1.3858531722675258,-0.10783193296093962,0.0003589936912958691
78,132.8,13.444444444444446,1.3447557298965145,1.0293660643992544,1.3777951444336396,-0.03303941453712511,0.00039563033568084413
79,132.9,15.555555555555555,1.5559702794434267,0.8581582797525646,1.3698205520287403,0.18614972741468638,0.0004357236231716888
80,133.0,11.555555555555555,1.1558479517890177,0.8683284620550278,1.3619282472471366,-0.2060802954581189,0.00047956930910859435
81,133.1,16.11111111111111,1.6114123917824343,1.3839860969199629,1.354117101951095,0.2572952898313394,0.0005274853609158873
82,133.2,13.444444444444445,1.344747941548886,0.8987740289150354,1.3463860072678446,-0.0016380657189585257,0.0005798133287341236
83,133.3,12.333333333333334,1.2336179385512362,0.9096916409487008,1.3387338731961778,-0.10511593464494151,0.0006369197733694719
84,133.4,14.77777777777778,1.4780601498705306,0.8869538288722825,1.3311596282224036,0.14690052164812695,0.0006991977514684818
85,133.5,14.666666666666666,1.466967932205922,0.980000799381768,1.323662218945365,0.14330571326055686,0.0007670683575458435
86,133.6,11.666666666666666,1.1669357087737078,1.0725855154207071,1.3162406097103208,-0.14930490093661297,0.000840982322185645
87,133.7,12.555555555555552,1.2558112592175543,0.8529753625678524,1.3088937822514202,-0.05308252303386585,0.0009214216654044235
88,133.8,13.333333333333334,1.333606825889065,1.0037722553711317,1.3016207353425522,0.0319860905465128,0.0010089014038045432
89,133.9,13.111111111111112,1.311461349415228,0.8255626659302615,1.2944204844563574,0.017040864958870694,0.0011039713097600666
90,134.0,14.444444444444445,1.444765737347265,0.9827985752508815,1.2872920614311496,0.1574736759161155,0.0012072177204648115
91,134.1,13.55555555555556,1.3557856726247677,0.8689839567117884,1.280234514145587,0.07555115847918059,0.0013192653942322135
92,134.2,13.0,1.3003413264908046,0.9696726287397154,1.273246906200848,0.027094420289956567,0.0014407794109731944
93,134.3,10.666666666666668,1.0668745635285235,0.7118571150203276,1.2663283166101322,-0.19945375308160873,0.0015724671132902304
94,134.4,11.666666666666666,1.166876779960372,0.9709929446427068,1.2594778394952995,-0.09260105953492737,0.0017150800841178816
95,134.5,11.444444444444445,1.144634558637455,0.8952170834994645,1.2526945837904335,-0.10806002515297863,0.0018694161563170316
96,134.6,14.77777777777778,1.478135793074962,1.040879611901549,1.245977672952186,0.2321581201227758,0.0020363214490958983
97,134.7,12.555555555555554,1.2557979149865235,1.4147960520602276,1.2393262446767002,0.016471670309823327,0.0022166924255996325
98,134.8,13.666666666666666,1.3669501789160647,0.9384309881628808,1.2327394506229452,0.13421072829311953,0.0024114779654918162
99,134.9,12.333333333333334,1.2336969002850202,0.9573966614340768,1.2262164561423177,0.007480444142702547,0.0026216814458681556
100,135.0,13.0,1.300361360309427,0.8984019534582485,1.219756440014307,0.08060492029512001,0.0028483628234251025
101,135.1,12.444444444444445,1.244726830115849,0.7744003182095852,1.213358594188116,0.03136823592773297,0.0030926407104910647
102,135.2,13.333333333333334,1.3335968095344075,1.4908109730076624,1.207022123530054,0.1265746860043535,0.003355694437380506
103,135.3,11.666666666666664,1.166942401694029,1.0085739810504422,1.2007462455765636,-0.033803843882534546,0.0036387660936265474
104,135.4,11.777777777777777,1.1780535070230964,0.8110011794518777,1.1945301902927454,-0.016476683269649017,0.003943162541102282
105,135.5,12.777777777777777,1.278085735790106,0.8719642183684884,1.188373199836221,0.08971253595388506,0.004270257393011538
106,135.6,11.222222222222223,1.1224612444245268,0.8389286847838527,1.1822745283262268,-0.05981328390170004,0.00462149295442034
107,135.7,12.333333333333336,1.2336479637985842,1.0460733005497729,1.176233441617787,0.05741452218079712,0.004998382122705028
108,135.8,12.77777777777778,1.2780557343643268,0.9530689655491416,1.170249217080843,0.1078065172834839,0.0054025102503776415
109,135.9,11.222222222222223,1.1224668078768347,0.830066967347777,1.164321143384226,-0.04185433550739126,0.005835536978714544
110,136.0,11.777777777777777,1.1780168110999325,0.9614003092524638,1.158448520284326,0.019568290815606515,0.006299198059100141
111,136.1,12.555555555555555,1.2557678839539903,0.8785577786807415,1.1526306584183745,0.10313722553561577,0.0067953071908125025
112,136.2,10.333333333333334,1.0335579385806148,0.8981060267773904,1.1468668791021999,-0.11330894052158502,0.007325757920161431
113,136.3,11.555555555555554,1.1557879081988345,0.9017362585557064,1.1411565141323552,0.014631394066479286,0.00789252566769577
114,136.4,10.666666666666666,1.066922365873338,0.7622833350915139,1.1354989055925193,-0.06857653971918132,0.008497669979171351
115,136.5,10.11111111111111,1.01129788295814,0.9850677508350428,1.1298934056640386,-0.11859552270589857,0.009143337133939947
116,136.6,12.222222222222223,1.2225279555685316,0.8959594243560317,1.1243393764405447,0.09818857912798684,0.00983176329348607
117,136.7,10.555555555555555,1.0557790295517693,0.8372049287004302,1.118836189746521,-0.06305716019475183,0.0105652784354009
118,136.8,8.555555555555554,0.8557122954875082,0.8529520155383875,1.1133832269597335,-0.2576709314722253,0.011346311396705557
119,136.9,11.555555555555554,1.15578790397381,0.8850976547860885,1.1079798788374347,0.047808025136375276,0.012177396447805045
120,137.0,10.222222222222223,1.0224368044416396,0.8386778903089506,1.1026255453462332,-0.0801887409045936,0.013061181937062644
