,L,cps,cps_per_nA,cps_per_nA_stdev,baseline,cps_per_nA_corrected,fit
44,129.4,164.13333333333333,3.285884147094336,0.3549370800057814,3.0507127373838054,0.23517140971053063,1.094836269352532e-07
45,129.5,158.66666666666666,3.176353756111511,0.2412855493267236,3.025124372559825,0.1512293835516858,1.3368008150213486e-07
46,129.6,159.40000000000003,3.1910289625237023,0.312901990964553,2.9998415163509673,0.19118744617273498,1.6301389216317712e-07
47,129.7,160.40000000000003,3.21102734808972,0.197458151268419,2.9748602190835873,0.23616712900613246,1.9852852766105789e-07
48,129.8,153.93333333333334,3.081570900846365,0.2312354845959681,2.9501765705713003,0.13139433027506486,2.4146912940975946e-07
49,129.9,152.8,3.0589144508654296,0.2920046163459323,2.925786700545947,0.13312775031948254,2.933193409646153e-07
50,130.0,156.2,3.127021787496776,0.2986844427520989,2.901686779032218,0.22533500846455778,3.5584443180529685e-07
51,130.1,152.66666666666669,3.056288355257601,0.3093231749408996,2.8778730166691378,0.17841533858846326,4.31141708144529e-07
52,130.2,148.73333333333332,2.97751433140228,0.2838439920352467,2.8543416649812015,0.1231726664210786,5.216993447814276e-07
53,130.3,146.59999999999997,2.934779600205712,0.2718487785299211,2.831089016601992,0.10369058360371985,6.30464930757812e-07
54,130.4,147.13333333333333,2.9455309099715303,0.2839058593263926,2.8081114054529634,0.13741950451856688,7.609251994480567e-07
55,130.5,145.2,2.906727218240067,0.3143224927078208,2.785405206879835,0.12132201136023202,9.17198612508079e-07
56,130.6,139.8,2.7987416568279664,0.3476132259439788,2.7629668377491576,0.03577481907880875,1.1041426886951993e-06
57,130.7,141.46666666666667,2.832056311973285,0.3030262776983774,2.740792756507275,0.09126355546601017,1.3274782148920997e-06
58,130.8,137.9333333333333,2.7612795903714646,0.2249964737066997,2.718879463203911,0.04240012716755359,1.5939327497162276e-06
59,130.9,139.86666666666667,2.8000167749837592,0.2880159027769981,2.6972234994825453,0.10279327550121398,1.911406131900686e-06
60,131.0,135.26666666666668,2.7078861961056813,0.2920369063252906,2.6758214485394762,0.03206474756620503,2.2891610382350173e-06
61,131.1,135.6,2.714683010861465,0.3027837177960527,2.6546699350536382,0.06001307580782678,2.738042001265907e-06
62,131.2,135.99999999999997,2.722567849025233,0.2333658602906179,2.633765625088887,0.08880222393634618,3.2707266971518582e-06
